Date : 2024-06-02 14:38:01
Directory : d:\DATN\Web\src
Total : 70 files,  3671 codes, 170 comments, 383 blanks, all 4224 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\DATN\Web\src\app\modals\order\index.html                             | HTML       |         97 |          1 |          3 |        101 |
| d:\DATN\Web\src\app\modals\order\index.scss                             | SCSS       |         25 |          0 |          2 |         27 |
| d:\DATN\Web\src\app\modals\order\index.ts                               | TypeScript |        133 |          0 |          9 |        142 |
| d:\DATN\Web\src\app\modals\review\index.html                            | HTML       |         28 |          0 |          1 |         29 |
| d:\DATN\Web\src\app\modals\review\index.scss                            | SCSS       |         34 |          0 |          4 |         38 |
| d:\DATN\Web\src\app\modals\review\index.ts                              | TypeScript |         45 |          0 |          6 |         51 |
| d:\DATN\Web\src\app\models\file-upload.model.ts                         | TypeScript |          9 |          0 |          2 |         11 |
| d:\DATN\Web\src\app\service\auth-guard.service.ts                       | TypeScript |         18 |          6 |          8 |         32 |
| d:\DATN\Web\src\app\service\http-interceptor.ts                         | TypeScript |         49 |          4 |          3 |         56 |
| d:\DATN\Web\src\app\service\injector.ts                                 | TypeScript |          8 |          0 |          4 |         12 |
| d:\DATN\Web\src\app\service\rest-api.service.ts                         | TypeScript |         18 |          3 |          8 |         29 |
| d:\DATN\Web\src\app\service\upload-file.service.ts                      | TypeScript |         61 |         17 |         16 |         94 |
| d:\DATN\Web\src\environments\environment.prod.ts                        | TypeScript |          4 |          0 |          1 |          5 |
| d:\DATN\Web\src\environments\environment.ts                             | TypeScript |         19 |          4 |          2 |         25 |
| d:\DATN\Web\src\index.html                                              | HTML       |         15 |          0 |          1 |         16 |
| d:\DATN\Web\src\main.ts                                                 | TypeScript |          4 |          1 |          5 |         10 |
| d:\DATN\Web\src\styles.css                                              | CSS        |         44 |          0 |         10 |         54 |
| d:\DATN\Web\src\theme.less                                              | Less       |          1 |          5 |          4 |         10 |
| d:\DATN\Web\src\typings.d.ts                                            | TypeScript |          5 |          1 |          1 |          7 |
| Total                                                                   |            |      3,671 |        170 |        383 |      4,224 |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
